i,date,equity,fit
0,2021-06-24,-14.8,-2999.6
1,2021-06-24,-23.8,-2997.7
2,2021-06-24,-24.5,-2995.9
3,2021-06-24,-58.8,-2994.1
4,2021-06-24,-75.0,-2992.2
5,2021-06-25,-58.8,-2990.4
6,2021-07-01,-64.8,-2988.6
7,2021-07-01,-81.2,-2986.7
8,2021-07-01,-80.2,-2984.9
9,2021-07-01,-53.5,-2983.1
10,2021-07-01,-42.2,-2981.2
11,2021-07-06,-20.2,-2979.4
12,2021-07-06,-50.2,-2977.6
13,2021-07-06,-59.8,-2975.7
14,2021-07-06,-29.8,-2973.9
15,2021-07-07,-24.2,-2972.1
16,2021-07-07,-54.2,-2970.3
17,2021-07-07,-50.2,-2968.4
18,2021-07-07,-61.2,-2966.6
19,2021-07-07,-91.2,-2964.8
20,2021-07-08,-121.2,-2962.9
21,2021-07-08,-88.8,-2961.1
22,2021-07-08,-79.0,-2959.3
23,2021-07-08,-76.8,-2957.4
24,2021-07-08,-93.2,-2955.6
25,2021-07-08,-63.8,-2953.8
26,2021-07-08,-32.2,-2951.9
27,2021-07-08,-6.5,-2950.1
28,2021-07-08,-44.2,-2948.3
29,2021-07-08,-19.8,-2946.4
30,2021-07-08,-18.8,-2944.6
31,2021-07-09,-10.2,-2942.8
32,2021-07-09,-33.0,-2940.9
33,2021-07-09,-26.0,-2939.1
34,2021-07-13,-31.5,-2937.3
35,2021-07-13,-8.8,-2935.5
36,2021-07-13,-38.8,-2933.6
37,2021-07-14,-68.8,-2931.8
38,2021-07-14,-90.8,-2930.0
39,2021-07-14,-85.2,-2928.1
40,2021-07-15,-65.0,-2926.3
41,2021-07-15,-42.5,-2924.5
42,2021-07-15,-92.5,-2922.6
43,2021-07-15,-91.0,-2920.8
44,2021-07-16,-121.0,-2919.0
45,2021-07-19,-117.8,-2917.1
46,2021-07-19,-147.8,-2915.3
47,2021-07-19,-141.0,-2913.5
48,2021-07-19,-133.2,-2911.6
49,2021-07-19,-108.8,-2909.8
50,2021-07-19,-101.8,-2908.0
51,2021-07-20,-121.8,-2906.2
52,2021-07-20,-115.8,-2904.3
53,2021-07-22,-112.8,-2902.5
54,2021-07-23,-116.8,-2900.7
55,2021-07-23,-112.2,-2898.8
56,2021-07-26,-109.5,-2897.0
57,2021-07-27,-139.5,-2895.2
58,2021-07-27,-114.0,-2893.3
59,2021-07-27,-92.5,-2891.5
60,2021-07-27,-142.5,-2889.7
61,2021-07-27,-182.2,-2887.8
62,2021-07-27,-201.0,-2886.0
63,2021-07-27,-231.0,-2884.2
64,2021-07-27,-205.5,-2882.3
65,2021-07-28,-227.2,-2880.5
66,2021-07-28,-259.2,-2878.7
67,2021-07-28,-269.8,-2876.9
68,2021-07-28,-266.0,-2875.0
69,2021-07-28,-316.0,-2873.2
70,2021-07-28,-346.0,-2871.4
71,2021-07-28,-339.8,-2869.5
72,2021-07-28,-356.0,-2867.7
73,2021-07-28,-386.0,-2865.9
74,2021-07-28,-353.2,-2864.0
75,2021-07-29,-336.0,-2862.2
76,2021-07-29,-324.5,-2860.4
77,2021-07-30,-310.2,-2858.5
78,2021-08-02,-287.2,-2856.7
79,2021-08-02,-276.8,-2854.9
80,2021-08-02,-306.8,-2853.0
81,2021-08-02,-315.8,-2851.2
82,2021-08-02,-317.0,-2849.4
83,2021-08-02,-316.2,-2847.6
84,2021-08-02,-332.5,-2845.7
85,2021-08-02,-357.0,-2843.9
86,2021-08-03,-387.0,-2842.1
87,2021-08-03,-384.5,-2840.2
88,2021-08-03,-369.0,-2838.4
89,2021-08-03,-419.0,-2836.6
90,2021-08-04,-416.5,-2834.7
91,2021-08-06,-406.5,-2832.9
92,2021-08-06,-405.0,-2831.1
93,2021-08-08,-402.8,-2829.2
94,2021-08-10,-432.8,-2827.4
95,2021-08-10,-410.0,-2825.6
96,2021-08-10,-448.8,-2823.7
97,2021-08-10,-435.5,-2821.9
98,2021-08-11,-465.5,-2820.1
99,2021-08-11,-454.5,-2818.3
100,2021-08-12,-488.2,-2816.4
101,2021-08-12,-497.2,-2814.6
102,2021-08-12,-514.2,-2812.8
103,2021-08-12,-513.2,-2810.9
104,2021-08-13,-497.5,-2809.1
