day,od,rail,f1_t,f1,pk_t,pk,f2_t,f2,foot_gap,depth,span,brk_t,brk_px,mfe,mae,eod_pts
2021-07-07,short,14751.25,16:55,14828.5,16:59,14810.75,17:07,14827.25,1.25,16.5,12,17:24,14805.0,33.8,22.8,3.0
2021-07-15,short,14773.0,16:25,14823.5,16:28,14810.25,16:33,14829.75,6.25,13.2,8,16:48,14793.0,84.8,12.5,2.8
2021-08-03,short,14866.0,17:02,15021.75,17:05,15000.75,17:05,15014.0,7.75,13.2,3,17:19,14989.0,9.2,61.0,-54.8
2021-08-11,short,14978.5,18:03,15029.5,18:06,15017.0,18:11,15032.25,2.75,12.5,8,18:37,15003.0,12.8,26.0,-19.2
2021-08-17,short,14897.0,19:07,14966.5,19:11,14952.25,19:16,14972.0,5.5,14.2,9,19:37,14942.25,8.8,60.0,-57.5
2021-09-08,short,15546.0,19:04,15625.75,19:06,15606.25,19:15,15618.75,7.0,12.5,11,19:48,15600.25,8.5,23.8,-22.5
2021-09-23,long,15331.0,16:21,15265.75,16:25,15288.75,16:25,15275.25,9.5,13.5,4,16:35,15294.0,52.8,18.2,5.5
2021-09-30,short,14690.0,18:10,14765.5,18:13,14751.0,18:16,14772.0,6.5,14.5,6,18:26,14735.75,65.8,92.8,59.5
2021-10-01,short,14589.75,16:44,14707.0,16:46,14695.0,16:47,14707.75,0.75,12.0,3,16:52,14685.75,40.2,132.2,-85.0
2021-10-06,long,14641.75,17:27,14578.25,17:30,14597.5,17:35,14578.75,0.5,18.8,8,17:42,14617.5,147.5,50.0,136.0
2021-10-08,short,14812.75,19:31,14870.25,19:47,14847.5,20:08,14861.5,8.75,14.0,37,20:37,14820.5,25.2,5.8,9.0
2021-10-12,short,14639.75,17:05,14730.5,17:07,14716.25,17:08,14732.75,2.25,14.2,3,17:21,14702.75,81.8,17.0,52.5
2021-11-04,long,16299.75,15:30,16243.25,15:32,16265.75,15:50,16245.25,2.0,20.5,20,15:56,16285.5,93.0,11.2,49.2
2021-12-10,short,16148.25,16:46,16262.25,16:49,16242.5,16:51,16266.5,4.25,19.8,5,17:34,16222.5,14.2,114.8,-105.0
2021-12-21,short,15641.75,16:10,15736.25,16:11,15722.0,16:15,15741.75,5.5,14.2,5,16:24,15710.25,3.0,276.8,-263.2
2022-01-10,short,15257.5,18:28,15371.25,18:29,15356.0,18:31,15380.5,9.25,15.2,3,18:39,15347.75,6.8,269.0,-256.5
2022-01-12,short,15819.0,17:56,15953.0,18:01,15930.5,18:01,15945.0,8.0,14.5,5,18:14,15906.25,49.8,15.2,10.8
2022-01-14,long,15509.25,18:24,15405.5,18:25,15426.25,18:27,15404.0,1.5,20.8,3,18:43,15446.5,160.8,7.5,146.2
2022-01-18,short,15227.5,19:01,15285.0,19:04,15264.5,19:19,15289.5,4.5,20.5,18,19:26,15251.25,80.5,78.0,37.2
2022-01-19,short,15147.25,17:47,15312.0,17:50,15288.5,17:59,15317.5,5.5,23.5,12,18:29,15257.25,232.5,23.5,219.8
2022-01-20,long,15288.75,15:19,15218.0,15:22,15246.0,15:23,15226.25,8.25,19.8,4,15:28,15261.75,78.8,444.8,-425.0
2022-01-26,short,14355.75,17:45,14548.75,17:46,14523.25,17:49,14542.5,6.25,19.2,4,18:02,14477.5,500.8,164.8,329.2
2022-01-27,short,14213.25,16:02,14352.0,16:04,14326.0,16:06,14347.75,4.25,21.8,4,16:09,14294.75,347.5,56.0,307.2
2022-01-28,short,13947.75,17:06,14311.5,17:08,14284.0,17:09,14306.5,5.0,22.5,3,17:14,14267.5,209.0,170.5,-166.5
2022-02-01,short,14823.5,20:32,14975.0,20:35,14953.0,20:36,14970.5,4.5,17.5,4,20:40,14937.0,8.2,83.5,-54.2
2022-02-03,long,14824.5,17:04,14630.5,17:06,14646.75,17:19,14626.5,4.0,16.2,15,17:25,14678.75,33.8,222.2,-175.2
2022-02-07,short,14587.25,20:12,14722.5,20:13,14706.25,20:15,14727.0,4.5,16.2,3,20:21,14692.25,181.0,8.5,126.2
2022-02-16,short,14394.0,16:07,14479.0,16:12,14456.25,16:12,14474.0,5.0,17.8,5,16:16,14451.0,66.0,194.0,-150.2
